"datetime","lake","variable","unit","observation","depth","depth_id"
2024-05-15 05:00:00,"peter","do","degC",4.70406666666667,6,NA
2024-05-15 05:00:00,"peter","do","degC",18.3265,0.5,NA
2024-05-15 05:00:00,"peter","do","degC",16.7160833333333,1,NA
2024-05-15 05:00:00,"peter","do","degC",16.1338333333333,1.5,NA
2024-05-15 05:00:00,"peter","do","degC",14.8106666666667,2,NA
2024-05-15 05:00:00,"peter","do","degC",12.2060833333333,2.5,NA
2024-05-15 05:00:00,"peter","do","degC",9.9824,3,NA
2024-05-15 05:00:00,"peter","do","degC",8.012,3.5,NA
2024-05-15 05:00:00,"peter","do","degC",6.77290833333333,4,NA
2024-05-15 05:00:00,"peter","do","degC",5.92905833333333,4.5,NA
2024-05-15 05:00:00,"peter","do","degC",5.32250833333333,5,NA
2024-05-15 05:00:00,"peter","do","degC",4.70316666666667,6,NA
2024-05-15 05:00:00,"peter","do","degC",18.4344166666667,0.5,NA
2024-05-15 05:00:00,"peter","do","degC",16.6875833333333,1,NA
2024-05-15 05:00:00,"peter","do","degC",16.1785833333333,1.5,NA
2024-05-15 05:00:00,"peter","do","degC",14.8429166666667,2,NA
2024-05-15 05:00:00,"peter","do","degC",12.5064166666667,2.5,NA
2024-05-15 05:00:00,"peter","do","degC",9.73746666666667,3,NA
2024-05-15 05:00:00,"peter","do","degC",8.10611666666667,3.5,NA
2024-05-15 05:00:00,"peter","do","degC",6.99455833333333,4,NA
2024-05-15 05:00:00,"peter","do","degC",6.06969166666667,4.5,NA
2024-05-15 05:00:00,"peter","do","degC",5.3683,5,NA
2024-05-15 05:00:00,"peter","do","degC",4.6704,6,NA
2024-05-15 05:00:00,"peter","do","degC",18.639,0.5,NA
2024-05-15 05:00:00,"peter","do","degC",16.79775,1,NA
2024-05-15 05:00:00,"peter","do","degC",16.1978333333333,1.5,NA
2024-05-15 05:00:00,"peter","do","degC",14.7675833333333,2,NA
2024-05-15 05:00:00,"peter","do","degC",12.0639166666667,2.5,NA
2024-05-15 05:00:00,"peter","do","degC",9.80123333333333,3,NA
2024-05-15 05:00:00,"peter","do","degC",8.41613333333333,3.5,NA
2024-05-15 05:00:00,"peter","do","degC",6.70330833333333,4,NA
2024-05-15 05:00:00,"peter","do","degC",5.79785,4.5,NA
2024-05-15 05:00:00,"peter","do","degC",5.30888333333333,5,NA
2024-05-15 05:00:00,"peter","do","degC",4.69915833333333,6,NA
2024-05-15 05:00:00,"peter","do","degC",18.6301666666667,0.5,NA
2024-05-15 05:00:00,"peter","do","degC",16.80025,1,NA
2024-05-15 05:00:00,"peter","do","degC",16.26725,1.5,NA
2024-05-15 05:00:00,"peter","do","degC",14.76775,2,NA
2024-05-15 05:00:00,"peter","do","degC",11.96475,2.5,NA
2024-05-15 05:00:00,"peter","do","degC",10.1732083333333,3,NA
2024-05-15 05:00:00,"peter","do","degC",8.22576666666667,3.5,NA
2024-05-15 05:00:00,"peter","do","degC",6.80879166666667,4,NA
2024-05-15 05:00:00,"peter","do","degC",5.88720833333333,4.5,NA
2024-05-15 05:00:00,"peter","do","degC",5.25934166666667,5,NA
