"Depth_meter","Water_Temperature_celsius","datetime"
6.75,5.08,2024-08-12 14:00:00
7,4.94,2024-08-12 14:00:00
7.5,4.89,2024-08-12 14:00:00
8,4.81,2024-08-12 14:00:00
0,24.6,2024-08-14 14:00:00
0.25,23.6,2024-08-14 14:00:00
0.5,23.08,2024-08-14 14:00:00
0.75,22.19,2024-08-14 14:00:00
1,21.7,2024-08-14 14:00:00
1.25,21.32,2024-08-14 14:00:00
1.5,20.74,2024-08-14 14:00:00
1.75,20.24,2024-08-14 14:00:00
2,19.75,2024-08-14 14:00:00
2.25,19.42,2024-08-14 14:00:00
2.5,18.91,2024-08-14 14:00:00
2.75,18.19,2024-08-14 14:00:00
3,15.76,2024-08-14 14:00:00
3.25,14.65,2024-08-14 14:00:00
3.5,13.03,2024-08-14 14:00:00
3.75,11.64,2024-08-14 14:00:00
4,10.29,2024-08-14 14:00:00
4.25,9.18,2024-08-14 14:00:00
4.5,8.7,2024-08-14 14:00:00
4.75,7.64,2024-08-14 14:00:00
5,7.05,2024-08-14 14:00:00
5.25,6.66,2024-08-14 14:00:00
5.5,6.33,2024-08-14 15:00:00
5.75,6.05,2024-08-14 15:00:00
6,5.79,2024-08-14 15:00:00
6.25,5.51,2024-08-14 15:00:00
6.5,5.28,2024-08-14 15:00:00
6.75,5.16,2024-08-14 15:00:00
7,5.04,2024-08-14 15:00:00
7.5,4.81,2024-08-14 15:00:00
8,4.75,2024-08-14 15:00:00
0,21.86,2024-08-17 15:00:00
0.25,21.9,2024-08-17 15:00:00
0.5,21.91,2024-08-17 15:00:00
0.75,21.9,2024-08-17 15:00:00
1,21.89,2024-08-17 15:00:00
1.25,21.75,2024-08-17 15:00:00
1.5,21.49,2024-08-17 16:00:00
1.75,20.96,2024-08-17 16:00:00
2,20.38,2024-08-17 16:00:00
2.25,19.73,2024-08-17 16:00:00
2.5,18.94,2024-08-17 16:00:00
2.75,17.83,2024-08-17 16:00:00
3,16.29,2024-08-17 16:00:00
3.25,14.16,2024-08-17 16:00:00
3.5,13.11,2024-08-17 16:00:00
3.75,12.09,2024-08-17 16:00:00
4,11.03,2024-08-17 16:00:00
4.25,9.63,2024-08-17 16:00:00
4.5,8.86,2024-08-17 16:00:00
4.75,8.05,2024-08-17 16:00:00
5,7.44,2024-08-17 16:00:00
5.25,6.82,2024-08-17 16:00:00
5.5,6.51,2024-08-17 16:00:00
5.75,6.12,2024-08-17 16:00:00
6,5.77,2024-08-17 16:00:00
6.25,5.49,2024-08-17 16:00:00
6.5,5.34,2024-08-17 16:00:00
6.75,5.17,2024-08-17 16:00:00
7,5.04,2024-08-17 16:00:00
7.5,4.91,2024-08-17 16:00:00
8,4.84,2024-08-17 16:00:00
0,22.89,2024-08-19 16:00:00
0.25,22.9,2024-08-19 16:00:00
0.5,22.87,2024-08-19 16:00:00
0.75,21.95,2024-08-19 16:00:00
1,21.61,2024-08-19 16:00:00
1.25,21.39,2024-08-19 16:00:00
1.5,21.25,2024-08-19 16:00:00
1.75,21.12,2024-08-19 16:00:00
2,20.62,2024-08-19 16:00:00
2.25,20.09,2024-08-19 16:00:00
2.5,19.04,2024-08-19 16:00:00
2.75,17.8,2024-08-19 16:00:00
3,16.3,2024-08-19 16:00:00
3.25,14.8,2024-08-19 16:00:00
3.5,13.57,2024-08-19 16:00:00
3.75,12.27,2024-08-19 16:00:00
4,10.72,2024-08-19 16:00:00
4.25,9.6,2024-08-19 16:00:00
4.5,8.8,2024-08-19 16:00:00
4.75,8.06,2024-08-19 16:00:00
5,7.24,2024-08-19 16:00:00
5.25,6.8,2024-08-19 16:00:00
5.5,6.35,2024-08-19 16:00:00
5.75,5.94,2024-08-19 16:00:00
6,5.62,2024-08-19 16:00:00
6.25,5.38,2024-08-19 16:00:00
6.5,5.22,2024-08-19 16:00:00
6.75,5.05,2024-08-19 16:00:00
7,5.01,2024-08-19 16:00:00
7.5,4.87,2024-08-19 16:00:00
8,4.79,2024-08-19 16:00:00
0,21.85,2024-08-21 12:00:00
0.25,21.67,2024-08-21 12:00:00
0.5,21.69,2024-08-21 12:00:00
0.75,21.23,2024-08-21 12:00:00
1,21.04,2024-08-21 12:00:00
1.25,20.9,2024-08-21 12:00:00
1.5,20.74,2024-08-21 12:00:00
1.75,20.63,2024-08-21 12:00:00
2,20.25,2024-08-21 12:00:00
2.25,20.01,2024-08-21 12:00:00
2.5,19.54,2024-08-21 12:00:00
2.75,17.85,2024-08-21 12:00:00
3,16.1,2024-08-21 12:00:00
3.25,14.79,2024-08-21 12:00:00
3.5,13.25,2024-08-21 12:00:00
3.75,12.12,2024-08-21 12:00:00
4,11.17,2024-08-21 12:00:00
4.25,10.01,2024-08-21 12:00:00
4.5,8.93,2024-08-21 12:00:00
4.75,8.11,2024-08-21 12:00:00
5,7.53,2024-08-21 12:00:00
5.25,7.01,2024-08-21 12:00:00
5.5,6.59,2024-08-21 12:00:00
5.75,6.35,2024-08-21 12:00:00
6,5.72,2024-08-21 12:00:00
6.25,5.57,2024-08-21 12:00:00
6.5,5.34,2024-08-21 12:00:00
6.75,5.17,2024-08-21 12:00:00
7,5.03,2024-08-21 12:00:00
7.5,4.87,2024-08-21 12:00:00
8,4.79,2024-08-21 12:00:00
0,23.18,2024-08-24 13:00:00
0.25,22.79,2024-08-24 13:00:00
0.5,22.25,2024-08-24 13:00:00
0.75,21.96,2024-08-24 13:00:00
1,21.84,2024-08-24 13:00:00
1.25,21.75,2024-08-24 13:00:00
1.5,21.61,2024-08-24 13:00:00
1.75,21.53,2024-08-24 13:00:00
2,21.23,2024-08-24 13:00:00
2.25,20.4,2024-08-24 13:00:00
2.5,19.5,2024-08-24 13:00:00
2.75,18.5,2024-08-24 13:00:00
3,16.41,2024-08-24 13:00:00
3.25,15.12,2024-08-24 13:00:00
3.5,13.89,2024-08-24 13:00:00
3.75,12.63,2024-08-24 13:00:00
4,11.07,2024-08-24 13:00:00
4.25,10.03,2024-08-24 13:00:00
4.5,8.96,2024-08-24 13:00:00
4.75,8.29,2024-08-24 13:00:00
5,7.56,2024-08-24 13:00:00
5.25,7.12,2024-08-24 13:00:00
5.5,6.75,2024-08-24 13:00:00
5.75,6.51,2024-08-24 13:00:00
6,6.42,2024-08-24 13:00:00
6.25,5.86,2024-08-24 13:00:00
6.5,5.5,2024-08-24 13:00:00
6.75,5.35,2024-08-24 13:00:00
7,5.23,2024-08-24 14:00:00
7.5,4.92,2024-08-24 14:00:00
8,4.82,2024-08-24 14:00:00
