,datetime,lake,depth,depth_id,variable,unit,observation
77,2024-06-03 09:00:00,peter,12,hypo,doc,MilliGM-PER-L,5.062
78,2024-06-03 09:00:00,peter,4,meta,doc,MilliGM-PER-L,4.541
79,2024-06-24 09:00:00,peter,12,hypo,doc,MilliGM-PER-L,5.046
80,2024-06-24 09:00:00,peter,4,meta,doc,MilliGM-PER-L,4.6775
81,2024-06-17 09:00:00,peter,4,meta,doc,MilliGM-PER-L,4.662
82,2024-06-10 09:00:00,peter,12,hypo,doc,MilliGM-PER-L,5.068
83,2024-06-10 09:00:00,peter,4,meta,doc,MilliGM-PER-L,5.028
84,2024-06-10 09:00:00,peter,1,epi,doc,MilliGM-PER-L,5.032
85,2024-05-27 09:00:00,peter,12,hypo,doc,MilliGM-PER-L,5.201
86,2024-05-27 09:00:00,peter,4,meta,doc,MilliGM-PER-L,5.091
87,2024-05-27 09:00:00,peter,1,epi,doc,MilliGM-PER-L,5.181
88,2024-05-20 09:00:00,peter,12,hypo,doc,MilliGM-PER-L,5.416
89,2024-05-20 09:00:00,peter,4,meta,doc,MilliGM-PER-L,4.935
