variable,n,r2,rmse,run,overall_r2,overall_rmse
do,708.0,0.7916563601986288,1.8743914681362122,1,0.30405313241864435,1.4789359094921402
doc,30.0,-0.8006781868511064,0.816577418211837,1,0.30405313241864435,1.4789359094921402
wtemp,19824.0,0.9211812239084105,1.745838842128371,1,0.30405313241864435,1.4789359094921402
do,708.0,0.8355034687240972,1.665514996358043,2,0.07531812784657273,1.46549752311919
doc,30.0,-1.5291531556462865,0.967758241608024,2,0.07531812784657273,1.46549752311919
wtemp,19824.0,0.9196040704619075,1.7632193313915037,2,0.07531812784657273,1.46549752311919
do,708.0,0.8574004323281667,1.5507053300662466,3,-0.3730096569086854,1.5016634022905382
doc,30.0,-2.89696178787165,1.2012748576954442,3,-0.3730096569086854,1.5016634022905382
wtemp,19824.0,0.9205323848174267,1.7530100191099232,3,-0.3730096569086854,1.5016634022905382
do,708.0,0.8575913803097283,1.5496667461189744,4,-0.5587152059732322,1.531468097418837
doc,30.0,-3.4535858614715824,1.2842046220183223,4,-0.5587152059732322,1.531468097418837
wtemp,19824.0,0.9198488632421575,1.7605329241192142,4,-0.5587152059732322,1.531468097418837
do,708.0,0.8453527762756393,1.6148836560147255,5,0.20374426724304626,1.4247762731087352
doc,30.0,-1.1534283021098775,0.892985736799164,5,0.20374426724304626,1.4247762731087352
wtemp,19824.0,0.9193083275633769,1.7664594265123166,5,0.20374426724304626,1.4247762731087352
do,708.0,0.8598543932624825,1.5373045737274724,6,-0.5549821800510796,1.5000101162715296
doc,30.0,-3.4519224839942257,1.283964779720026,6,-0.5549821800510796,1.5000101162715296
wtemp,19824.0,0.9271215505785048,1.6787609953670906,6,-0.5549821800510796,1.5000101162715296
do,708.0,0.8501676182120893,1.5895456938039298,7,-0.4074161062158636,1.5148404346087616
doc,30.0,-2.994231347217892,1.2161745800877741,7,-0.4074161062158636,1.5148404346087616
wtemp,19824.0,0.9218154103582117,1.7388010299345802,7,-0.4074161062158636,1.5148404346087616
do,708.0,0.8169761721473375,1.7568067535802745,8,0.24545687497541077,1.4820253512659196
doc,30.0,-0.9940069160380243,0.8592957108395878,8,0.24545687497541077,1.4820253512659196
wtemp,19824.0,0.913401368816919,1.829973589377897,8,0.24545687497541077,1.4820253512659196
do,708.0,0.8632700662648529,1.5184551780465716,9,-0.5554784103085598,1.5120649167976214
doc,30.0,-3.4519727097642914,1.2839720224267608,9,-0.5554784103085598,1.5120649167976214
wtemp,19824.0,0.9222674125737588,1.733767549919532,9,-0.5554784103085598,1.5120649167976214
do,708.0,0.8578453216770072,1.5482844559112716,10,-0.4001661567450636,1.4910387429170708
doc,30.0,-2.982691068745229,1.214416401307003,10,-0.4001661567450636,1.4910387429170708
wtemp,19824.0,0.9243472768330311,1.7104153715329378,10,-0.4001661567450636,1.4910387429170708
do,708.0,0.8058954147081195,1.8092062217989473,11,0.24669170568599494,1.4993721208390764
doc,30.0,-0.9789477585749105,0.8560447707567264,11,0.24669170568599494,1.4993721208390764
wtemp,19824.0,0.9131274609247757,1.8328653699615556,11,0.24669170568599494,1.4993721208390764
do,708.0,0.8002431200353964,1.8353590949578908,12,0.2785589321411975,1.4621823324867176
doc,30.0,-0.8885135556071992,0.8362562317472314,12,0.2785589321411975,1.4621823324867176
wtemp,19824.0,0.9239472319953952,1.7149316707550308,12,0.2785589321411975,1.4621823324867176
do,708.0,0.8554309776684823,1.5613770704134056,13,-0.2575490894246959,1.4767634594778667
doc,30.0,-2.5513849368645203,1.146774924453921,13,-0.2575490894246959,1.4767634594778667
wtemp,19824.0,0.9233066909219503,1.7221383835662736,13,-0.2575490894246959,1.4767634594778667
do,708.0,0.8394917425954972,1.6452006222514826,14,0.21087868490975004,1.421897508912485
doc,30.0,-1.1292334107104351,0.8879549855884212,14,0.21087868490975004,1.421897508912485
wtemp,19824.0,0.9223777228441881,1.7325369188975512,14,0.21087868490975004,1.421897508912485
do,708.0,0.8408439295529209,1.6382560451515251,15,-0.10954446384724414,1.464575452216338
doc,30.0,-2.0960799643582764,1.070743380870053,15,-0.10954446384724414,1.464575452216338
wtemp,19824.0,0.9266026432636231,1.6847269306274348,15,-0.10954446384724414,1.464575452216338
do,708.0,0.8209034561138855,1.7378559605454955,16,0.07804997226213146,1.478879307718861
doc,30.0,-1.5089191325824949,0.9638792821982808,16,0.07804997226213146,1.478879307718861
wtemp,19824.0,0.9221655932550038,1.734902680412806,16,0.07804997226213146,1.478879307718861
do,708.0,0.8565830684926359,1.5551432094633992,17,-0.45190902538254846,1.5155682136402306
doc,30.0,-3.1327087925797823,1.237076953015457,17,-0.45190902538254846,1.5155682136402306
wtemp,19824.0,0.9203986479395008,1.7544844784418354,17,-0.45190902538254846,1.5155682136402306
do,708.0,0.8578944111245405,1.5480171027993777,18,-0.3447681559875429,1.5032831266761182
doc,30.0,-2.810825290791256,1.1879244832188547,18,-0.3447681559875429,1.5032831266761182
wtemp,19824.0,0.9186264117040867,1.7739077940101222,18,-0.3447681559875429,1.5032831266761182
do,708.0,0.8276104051049696,1.705005168240627,19,0.25417430013563874,1.4279048268616992
